timestep,demand_el,pv,wind,demand_heat
403,263241.4774494,0.0,0.97973,766541.3283690193
404,261381.4887508,0.0,0.98557,552674.0929372029
405,251615.3942441,0.0,0.98951,447577.82260472944
406,246284.6574033,0.0,0.99288,417445.3255163979
407,249127.7170517,0.0,0.99484,346891.18599249964
408,235489.338381,0.0,0.99521,427734.4708636331
409,223175.5670465,0.0,0.99371,395397.1569151797
410,214147.9295914,0.0,0.99037,299120.1540231935
411,209643.3415769,0.0,0.98429,285891.25286246266
412,209306.4205472,0.0,0.97188,257228.633680879
413,214175.6217308,0.0,0.9326,296180.3982096978
414,226747.8530333,0.0,0.82715,379963.4388943269
415,253793.8425462,0.0,0.62052,370409.2325004657
416,285381.342926,0.0,0.36018,386577.8894746924
417,298788.9537681,0.0,0.22249,390252.5842415621
418,302582.7768704,0.073828,0.19643,344686.36913237785
419,304968.9162182,0.1756,0.11004,179325.10462324135
420,310553.4976705,0.2285,0.1088,80108.34591775943
421,309251.9671172,0.2317,0.19864,25864.261530514577
422,307784.2837272,0.18315,0.15331,23708.9064029717
423,303035.0818145,0.11281,0.085065,24427.35811215266
424,300118.1764609,0.043162,0.12235,51728.52306102916
425,298645.8777144,0.00017489,0.33257,139379.63158110637
426,311245.8011563,0.0,0.5732,444003.1562738336
427,316941.1511664,0.0,0.69382,749345.132675742
428,311836.5667976,0.0,0.76668,540275.6853040825
429,296564.3519003,0.0,0.85104,437537.090891205
430,284222.8884264,0.0,0.91486,408080.57081478566
431,275758.324473,0.0,0.93142,339109.20673341345
432,254167.6864285,0.0,0.90007,418138.8947433191
433,237880.0930854,0.0,0.87802,386527.0195393568
434,229553.9898292,0.0,0.90783,292409.845636651
435,226350.9323681,0.0,0.92705,279477.7148713937
436,226410.9320036,0.0,0.93795,251458.09821333623
437,231252.4410478,0.0,0.94272,289536.0387999272
438,241756.992606,0.0,0.93711,371439.5336465567
439,270072.2051762,0.0,0.91877,362099.66142720415
440,301392.0148748,0.0,0.89093,377905.5990291853
441,313031.9441498,0.0,0.85347,381497.8575750901
442,312990.4059406,0.098843,0.81949,336953.8516058705
443,315311.9302964,0.2117,0.81067,175302.2170401544
444,317527.301451,0.24839,0.83933,78311.2363007247
445,315519.6213421,0.22112,0.85515,28654.61638531879
446,312727.330616,0.19697,0.86576,26266.73168654222
447,307955.0519204,0.14278,0.83231,27062.69325280108
448,306238.1392755,0.070014,0.76946,57309.23277063758
449,305282.7604651,0.0028785,0.69714,154416.54385421795
450,317130.3807858,0.0,0.6428,491904.2479479725
451,322470.3483398,0.0,0.65468,830187.9136079861
452,318321.1427814,0.0,0.71986,598563.0978266591
453,301535.0909285,0.0,0.78958,484740.59385164286
454,288459.7857596,0.0,0.87624,452106.1696350298
