timestep,heat_demand,electricity_demand,PV,COP_AIR-HP,electricity_price_buy,electricity_price_sell
266,4.297260103,0.200779073,0,1.868859542,0.188256006,-0.085206006
267,4.466888791,0.171079711,0,1.868859542,0.185620617,-0.082570617
268,4.8249938,0.146124656,0,1.874583461,0.182072181,-0.079022181
269,6.068937514,0.14849681,0,1.883235385,0.180266836,-0.077216836
270,8.764148894,0.177911513,0,1.886137134,0.174664041,-0.071614041
271,10.81854079,0.341874764,0,1.891967543,0.18223819,-0.07918819
272,10.23426419,0.491130663,0,1.900781056,0.178606749,-0.075556749
273,9.800768656,0.45431484,0.0087342,1.897834109,0.180453596,-0.077403596
274,9.254187327,0.525669218,0.031926147,1.900781056,0.186637421,-0.083587421
275,8.72645363,0.441125667,0.063502775,1.924690252,0.18491508,-0.08186508
276,8.462586782,0.449096103,0.089108405,1.93076183,0.18472832,-0.08167832
277,8.274110461,0.496064742,0.094553181,1.92772126,0.180308338,-0.077258338
278,8.368348621,0.491415321,0.046095064,1.933812006,0.173169963,-0.070119963
279,8.53797731,0.437804652,0.048997794,1.946109698,0.17140612,-0.06835612
280,8.858387054,0.545690194,0.023145419,1.946109698,0.161590854,-0.058540854
281,9.122253903,0.404974047,0.002905624,1.946109698,0.16742191,-0.06437191
282,9.480358911,0.488284079,0,1.952317384,0.184852827,-0.081802827
283,9.574597071,0.630708175,0,1.961703526,0.189106801,-0.086056801
284,9.518054175,0.709938103,0,1.974359677,0.17615812,-0.07310812
285,9.00916811,0.638488839,0,1.955436102,0.172215413,-0.069165413
286,7.916005453,0.535062946,0,1.936871835,0.155842802,-0.052792802
287,5.503508553,0.464942088,0,1.933812006,0.176469386,-0.073419386
288,4.410345895,0.321189585,0,1.939941363,0.15715012,-0.05410012
289,3.781237858,0.221274479,0,1.943020635,0.141503798,-0.038453798
290,3.866018976,0.163678592,0,1.936871835,0.118781353,-0.015731353
291,4.018624988,0.150109874,0,1.943020635,0.132497824,-0.029447824
292,4.340793236,0.146124656,0,1.946109698,0.141835815,-0.038785815
293,5.459903992,0.14849681,0,1.946109698,0.141296287,-0.038246287
294,7.884643964,0.152102483,0,1.952317384,0.134572933,-0.031522933
295,9.732872334,0.155423498,0,1.961703526,0.136212269,-0.033162269
296,9.207229403,0.491130663,0,1.961703526,0.138992916,-0.035942916
297,8.81723626,0.50669199,0.014553754,1.974359677,0.142188584,-0.039138584
298,8.325505777,0.4675989,0.040612145,1.961703526,0.145031483,-0.041981483
299,7.850731516,0.441125667,0.083595705,1.961703526,0.14762537,-0.04457537
300,7.613344386,0.449096103,0.117588203,1.968011254,0.156984112,-0.053934112
301,7.443782151,0.63232124,0.114711768,1.964852327,0.149202453,-0.046152453
302,7.528563269,0.656706978,0.097644063,1.980749191,0.110688427,-0.007638427
303,7.681169281,0.437804652,0.072017413,2.003441899,0.09297,0.01008
304,7.969425082,0.397857587,0.034523463,2.013327303,0.09304,0.01001
305,8.206812212,0.399375765,0.002909908,2.036777038,0.09278,0.01027
306,8.52898046,0.488284079,0,2.050423786,0.137768601,-0.034718601
307,8.613761577,0.630708175,0,2.057315966,0.142935623,-0.039885623
308,8.562892907,0.79751801,0,2.060779461,0.126064986,-0.023014986
309,8.10507487,0.607745729,0,2.067741554,0.09303,0.01002
310,7.121613903,0.535062946,0,2.067741554,0.09272,0.01033
311,4.951217285,0.442833617,0,2.078273345,0.099358332,0.003691668
312,3.967756317,0.327926501,0,2.074750847,0.08577,0.01728
313,3.51543019,0.221274479,0,2.081807823,0.08991,0.01314
314,3.594251494,0.163678592,0,2.085354344,0.08105,0.022
315,3.736129843,0.15978826,0,2.088912969,0.07801,0.02504
316,4.035650801,0.156182587,0,2.010021346,0.08196,0.02109
317,5.076092023,0.14849681,0,2.00672623,0.08811,0.01494
318,7.330381337,0.177911513,0,2.016644152,0.096349423,0.006700577
319,9.04868578,0.341874764,0,2.00672623,0.167546417,-0.064496417
320,8.559993691,0.491130663,0.005910194,2.003441899,0.199337089,-0.096287089
321,8.197415689,0.50669199,0.08856924,1.990411382,0.200250137,-0.097200137
322,7.740252122,0.537814644,0.227598904,1.987180195,0.188691779,-0.085641779
323,7.298852816,0.66107174,0.124355432,2.026660596,0.197344984,-0.094294984
324,7.078153162,0.449096103,0.12706821,2.019971947,0.185371604,-0.082321604
325,6.920510553,0.496064742,0.095542713,2.036777038,0.1786275,-0.0755775
326,6.999331858,0.491415321,0.081156981,2.030021559,0.173792495,-0.070742495
327,7.141210206,0.437804652,0.066763581,2.026660596,0.17976881,-0.07671881
328,7.409202642,0.397857587,0.031815257,2.023310744,0.196037665,-0.092987665
329,7.629902295,0.549390753,0.002922759,2.023310744,0.198735307,-0.095685307
330,7.929423253,0.477087514,0,2.010021346,0.199399342,-0.096349342
331,8.008244558,0.630708175,0,1.943020635,0.198735307,-0.095685307
332,7.960951775,0.709938103,0,1.961703526,0.197884512,-0.094834512
333,7.53531673,0.638488839,0,1.964852327,0.195996163,-0.092946163
334,6.620989595,0.535062946,0,1.955436102,0.184977334,-0.081927334
335,4.603164195,0.442833617,0,1.936871835,0.178731255,-0.075681255
336,3.68883706,0.394441686,0,1.92166876,0.170368565,-0.067318565
337,3.619028018,0.296708961,0,1.92166876,0.166052338,-0.063002338
338,3.700172144,0.163678592,0,1.906702492,0.167380408,-0.064330408
